,id,address,categories,city,country,cuisines,latitude,longitude,priceRangeCurrency,priceRangeMin,priceRangeMax,province,dietary,is_vegan,is_vegetarian,is_both
4267,AVzA1inA-gnIPe8DScur,460 Amsterdam Ave,"Restaurant,Vegetarian / Vegan Restaurant,Vegetarian,Breakfast & Brunch,Coffee and Tea,Bakery,Caf,Hungarian,Healthy,Vegan",New York,US,Hungarian,40.785278,-73.977012,USD,25,40,NY,Both,TRUE,TRUE,TRUE
4347,AV1TsJyf3D1zeR_xFFNt,19 Cleveland Pl,"Restaurant,Mexican,Vegetarian",New York,US,Mexican,40.7216,-73.997076,,,,NY,Vegetarian,FALSE,TRUE,FALSE
4367,AV8wUWa2RxPSIh2Rls-v,128 1st Ave,"Restaurant,Mexican,Middle Eastern,Vegetarian,Turkish",New York,US,Mexican and Turkish,40.727354,-73.985309,,,,NY,Vegetarian,FALSE,TRUE,FALSE
4391,AV8wUMsF3-Khe5l_YOyh,143 1st Ave,"Restaurant,Mexican,Vegetarian",New York,US,Mexican,40.728095,-73.984947,,,,NY,Vegetarian,FALSE,TRUE,FALSE
4421,AVwciQA0kufWRAb5wPST,605 Carlton Ave,"American (New),Restaurant,Local/Organic,New American Restaurant,Vegetarian",Brooklyn,US,American,40.678982,-73.971618,USD,25,40,NY,Vegetarian,FALSE,TRUE,FALSE
4519,AVwdiNdmIN2L1WUfwwoU,21309 Hawthorne Blvd,"Restaurant,Salad Place,Breakfast & Brunch,Certified Green Restaurant(r),American Restaurant,Salad Place, Soup Place, and American Restaurant,Soup Place,Bakeries,Healthy,Salad,Restaurants,Produce Markets",Torrance,US,American,33.835769,-118.356363,USD,25,40,CA,Vegetarian,FALSE,FALSE,FALSE
4528,AVzA1iVW-gnIPe8DScug,60 W 23rd St,"Vegetarian / Vegan Restaurant,Vegetarian Vegan Restaurant,Juice Bar,Restaurants",New York,US,Unclassified,40.742529,-73.992312,USD,0,25,NY,Both,TRUE,TRUE,TRUE
4554,AVwdfI_5IN2L1WUfwSp0,2257 Chestnut St,"Restaurant,Sandwich Place,Restaurants",San Francisco,US,Mexican,37.80032,-122.44046,,,,CA,Vegan,TRUE,FALSE,FALSE
4580,AVzBBZTA-gnIPe8DShaR,2703 W Sunset Blvd,"Restaurant,Vegetarian / Vegan Restaurant,Restaurants",Los Angeles,US,Vegetarian,34.081028,-118.270394,,,,CA,Both,TRUE,TRUE,TRUE
4655,AV8wUKMW3-Khe5l_YOwk,7310 37th Ave,"Restaurant,Vegetarian,Indian",Jackson Heights,US,Indian,40.748722,-73.892373,,,,NY,Vegetarian,FALSE,TRUE,FALSE
